Date : 2023-12-22 14:46:23
Directory : c:\Users\antho\Desktop\nextjs-social-app
Total : 232 files,  11400 codes, 272 comments, 1217 blanks, all 12889 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\prisma\migrations                                                                                                            |          4 |        241 |        127 |        116 |        484 |
| src\prisma\migrations\20230918010756_init                                                                                        |          1 |         87 |         30 |         37 |        154 |
| src\prisma\migrations\20231104030831_adding_user_account_post_and_session                                                        |          1 |         58 |         33 |         29 |        120 |
| src\prisma\migrations\20231106194742_change_structure                                                                            |          1 |         68 |         39 |         33 |        140 |
| src\prisma\migrations\20231106205826_                                                                                            |          1 |         28 |         25 |         17 |         70 |
| src\styles                                                                                                                       |         47 |      1,317 |         13 |        264 |      1,594 |
| src\styles\sass                                                                                                                  |         47 |      1,317 |         13 |        264 |      1,594 |
| src\styles\sass (Files)                                                                                                          |          1 |         67 |          1 |         12 |         80 |
| src\styles\sass\abstracts                                                                                                        |          5 |         84 |          7 |         15 |        106 |
| src\styles\sass\base                                                                                                             |          2 |         80 |          1 |         18 |         99 |
| src\styles\sass\components                                                                                                       |         19 |        403 |          1 |         78 |        482 |
| src\styles\sass\layout                                                                                                           |         19 |        683 |          3 |        140 |        826 |
| src\styles\sass\themes                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| src\utils                                                                                                                        |         10 |        307 |          0 |         50 |        357 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                         | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\antho\Desktop\nextjs-social-app\README.md                                                                               | Markdown           |         31 |          0 |         21 |         52 |
| c:\Users\antho\Desktop\nextjs-social-app\docker-compose.yml                                                                      | YAML               |         14 |          0 |          1 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\next-auth.d.ts                                                                          | TypeScript         |          8 |          3 |          2 |         13 |
| c:\Users\antho\Desktop\nextjs-social-app\next.config.js                                                                          | JavaScript         |          2 |          1 |          2 |          5 |
| c:\Users\antho\Desktop\nextjs-social-app\package-lock.json                                                                       | JSON               |      3,976 |          0 |          1 |      3,977 |
| c:\Users\antho\Desktop\nextjs-social-app\package.json                                                                            | JSON               |         48 |          0 |          1 |         49 |
| c:\Users\antho\Desktop\nextjs-social-app\public\static\next.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\public\static\vercel.svg                                                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\schema.graphql                                                                          | GraphQL            |        147 |          0 |         17 |        164 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\@chatdetail\page.tsx                                               | TypeScript JSX     |          6 |          0 |          2 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\@chatlist\page.tsx                                                 | TypeScript JSX     |          6 |          0 |          2 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\layout.tsx                                                         | TypeScript JSX     |         22 |          0 |          4 |         26 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\chats\page.module.scss                                                   | SCSS               |         12 |          0 |          3 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\layout.tsx                                                               | TypeScript JSX     |         27 |          0 |          6 |         33 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(chat)\page.module.scss                                                         | SCSS               |         21 |          0 |          7 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\discover\layout.tsx                                                  | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\discover\page.tsx                                                    | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\layout.tsx                                                           | TypeScript JSX     |         57 |          0 |          9 |         66 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(discover)\page.module.scss                                                     | SCSS               |         44 |          0 |          9 |         53 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@draft\DraftLayout.tsx                                              | TypeScript JSX     |         71 |          0 |         10 |         81 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@draft\loading.tsx                                                  | TypeScript JSX     |          5 |          0 |          4 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@draft\page.tsx                                                     | TypeScript JSX     |          6 |          0 |          4 |         10 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@timeline\layout.tsx                                                | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@timeline\loading.tsx                                               | TypeScript JSX     |          5 |          0 |          4 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\@timeline\page.tsx                                                  | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\layout.tsx                                                          | TypeScript JSX     |         19 |          0 |          3 |         22 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\home\page.module.scss                                                    | SCSS               |         28 |          0 |          8 |         36 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\layout.tsx                                                               | TypeScript JSX     |         56 |          0 |          9 |         65 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@profile\error.tsx                                                    | TypeScript JSX     |         10 |          1 |          4 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@profile\loading.tsx                                                  | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@profile\page.tsx                                                     | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@timeline\loading.tsx                                                 | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\@timeline\page.tsx                                                    | TypeScript JSX     |         22 |          0 |          5 |         27 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\layout.tsx                                                            | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\me\page.module.scss                                                      | SCSS               |         12 |          0 |          6 |         18 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\@profile\error.tsx                                               | TypeScript JSX     |         10 |          1 |          4 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\@profile\loading.tsx                                             | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\@profile\page.tsx                                                | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\@timeline\error.tsx                                              | TypeScript JSX     |         10 |          1 |          4 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\@timeline\loading.tsx                                            | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\@timeline\page.tsx                                               | TypeScript JSX     |         23 |          0 |          5 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\layout.tsx                                                       | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\moments\page.module.scss                                                 | SCSS               |         12 |          0 |          4 |         16 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\notifications\layout.tsx                                                 | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\notifications\page.module.scss                                           | SCSS               |         27 |          0 |          7 |         34 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\notifications\page.tsx                                                   | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\page.module.scss                                                         | SCSS               |         37 |          0 |          9 |         46 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@profile\loading.tsx                                     | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@profile\page.tsx                                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@timeline\loading.tsx                                    | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\@timeline\page.tsx                                       | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\layout.tsx                                               | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(home)\user\[username]\page.module.scss                                         | SCSS               |         12 |          0 |          6 |         18 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\@landing\layout.tsx                                                   | TypeScript JSX     |          7 |          0 |          1 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\@landing\loading.tsx                                                  | TypeScript JSX     |          5 |          0 |          3 |          8 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\@landing\page.tsx                                                     | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\(landing)\layout.tsx                                                            | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\default.tsx                                                               | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\error\page.tsx                                                            | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\layout.tsx                                                                | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\error.tsx                                                           | TypeScript JSX     |         25 |          2 |          4 |         31 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\login\page.tsx                                                            | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\loading.tsx                                                        | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\page.module.scss                                                   | SCSS               |          7 |          0 |          2 |          9 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\logout\page.tsx                                                           | TypeScript JSX     |         23 |          0 |          3 |         26 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\signup\page.module.scss                                                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@auth\signup\page.tsx                                                           | TypeScript JSX     |         26 |          0 |          2 |         28 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@postDetail\(.)post\[postId]\DraftReplyClient.tsx                               | TypeScript JSX     |         59 |          0 |          9 |         68 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@postDetail\(.)post\[postId]\page.tsx                                           | TypeScript JSX     |         35 |          0 |          5 |         40 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@postDetail\default.tsx                                                         | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\default.tsx                                                           | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\layout.tsx                                                            | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\ProfileFormWithData.tsx                                       | TypeScript JSX     |         75 |          0 |          3 |         78 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\error.tsx                                                     | TypeScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\page.module.scss                                              | SCSS               |         89 |          0 |         15 |        104 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\@settings\profile\page.tsx                                                      | TypeScript JSX     |        127 |          0 |         13 |        140 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\auth\[...nextauth]\authorization.ts                                         | TypeScript         |         49 |          9 |         10 |         68 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\auth\[...nextauth]\options.ts                                               | TypeScript         |        121 |         20 |         12 |        153 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\auth\[...nextauth]\route.ts                                                 | TypeScript         |          4 |          0 |          3 |          7 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\builder.ts                                                          | TypeScript         |         28 |          7 |          8 |         43 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\context.ts                                                          | TypeScript         |          8 |         13 |          4 |         25 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\enums\notifyType.ts                                                 | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\enums\status.ts                                                     | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\enums\visible.ts                                                    | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Category\index.ts                                            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Category\queries.ts                                          | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Comment\index.ts                                             | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Comment\mutations.ts                                         | TypeScript         |         21 |          0 |          2 |         23 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Comment\queries.ts                                           | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Friendship\index.ts                                          | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Friendship\queries.ts                                        | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Like\index.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Like\mutations.ts                                            | TypeScript         |         36 |          0 |          3 |         39 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Like\queries.ts                                              | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Location\index.ts                                            | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Location\queries.ts                                          | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Media\index.ts                                               | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Media\queries.ts                                             | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Notification\index.ts                                        | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Notification\queries.ts                                      | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Notification_Type\index.ts                                   | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Notification_Type\queries.ts                                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Post\index.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Post\mutations.ts                                            | TypeScript         |         85 |          2 |          3 |         90 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Post\queries.ts                                              | TypeScript         |        216 |          5 |         10 |        231 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Profile\index.ts                                             | TypeScript         |          1 |          1 |          1 |          3 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\Profile\queries.ts                                           | TypeScript         |         30 |          0 |          2 |         32 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\User\index.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\User\mutations.ts                                            | TypeScript         |         39 |          0 |          2 |         41 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\User\queries.ts                                              | TypeScript         |        153 |          3 |         13 |        169 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\User_Notification\index.ts                                   | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\User_Notification\queries.ts                                 | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\models\index.ts                                                     | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\route.ts                                                            | TypeScript         |         14 |          3 |          4 |         21 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\api\graphql\schema.ts                                                           | TypeScript         |          8 |          1 |          5 |         14 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\error.tsx                                                                       | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\layout.tsx                                                                      | TypeScript JSX     |         57 |          0 |          6 |         63 |
| c:\Users\antho\Desktop\nextjs-social-app\src\app\post\[postId]\page.tsx                                                          | TypeScript JSX     |         14 |          0 |          4 |         18 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Avatar.tsx                                                               | TypeScript JSX     |         39 |          0 |          6 |         45 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Button.tsx                                                               | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Card.tsx                                                                 | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\ChatTab.tsx                                                              | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Chip.tsx                                                                 | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Comment.tsx                                                              | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Divider.tsx                                                              | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\Dropdown.tsx                                                             | TypeScript JSX     |         62 |         10 |         15 |         87 |
| c:\Users\antho\Desktop\nextjs-social-app\src\components\ErrorUI.tsx                                                              | TypeScript JSX     |         10 |          0 |          3 |         13 |
