Date : 2023-12-22 14:46:23
Directory : c:\Users\antho\Desktop\nextjs-social-app
Total : 232 files,  11400 codes, 272 comments, 1217 blanks, all 12889 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      4,024 |          0 |          2 |      4,026 |
| TypeScript JSX     |        101 |      3,232 |         31 |        480 |      3,743 |
| TypeScript         |         58 |      1,865 |         98 |        201 |      2,164 |
| SCSS               |         59 |      1,618 |         13 |        341 |      1,972 |
| SQL                |          4 |        241 |        127 |        116 |        484 |
| Prisma             |          1 |        197 |          2 |         35 |        234 |
| GraphQL            |          1 |        147 |          0 |         17 |        164 |
| Markdown           |          1 |         31 |          0 |         21 |         52 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| YAML               |          1 |         14 |          0 |          1 |         15 |
| JavaScript         |          1 |          2 |          1 |          2 |          5 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        232 |     11,400 |        272 |      1,217 |     12,889 |
| . (Files)                                                                                                                        |          8 |      4,253 |          4 |         46 |      4,303 |
| public                                                                                                                           |          2 |          2 |          0 |          0 |          2 |
| public\static                                                                                                                    |          2 |          2 |          0 |          0 |          2 |
| src                                                                                                                              |        222 |      7,145 |        268 |      1,171 |      8,584 |
| src (Files)                                                                                                                      |          1 |         67 |          0 |          5 |         72 |
| src\app                                                                                                                          |        109 |      2,416 |         69 |        419 |      2,904 |
| src\app (Files)                                                                                                                  |          2 |         74 |          0 |         10 |         84 |
| src\app\(chat)                                                                                                                   |          6 |         94 |          0 |         24 |        118 |
| src\app\(chat) (Files)                                                                                                           |          2 |         48 |          0 |         13 |         61 |
| src\app\(chat)\chats                                                                                                             |          4 |         46 |          0 |         11 |         57 |
| src\app\(chat)\chats (Files)                                                                                                     |          2 |         34 |          0 |          7 |         41 |
| src\app\(chat)\chats\@chatdetail                                                                                                 |          1 |          6 |          0 |          2 |          8 |
| src\app\(chat)\chats\@chatlist                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| src\app\(discover)                                                                                                               |          4 |        119 |          0 |         24 |        143 |
| src\app\(discover) (Files)                                                                                                       |          2 |        101 |          0 |         18 |        119 |
| src\app\(discover)\discover                                                                                                      |          2 |         18 |          0 |          6 |         24 |
| src\app\(home)                                                                                                                   |         34 |        599 |          3 |        154 |        756 |
| src\app\(home) (Files)                                                                                                           |          2 |         93 |          0 |         18 |        111 |
| src\app\(home)\home                                                                                                              |          8 |        162 |          0 |         39 |        201 |
| src\app\(home)\home (Files)                                                                                                      |          2 |         47 |          0 |         11 |         58 |
| src\app\(home)\home\@draft                                                                                                       |          3 |         82 |          0 |         18 |        100 |
| src\app\(home)\home\@timeline                                                                                                    |          3 |         33 |          0 |         10 |         43 |
| src\app\(home)\me                                                                                                                |          7 |         95 |          1 |         28 |        124 |
| src\app\(home)\me (Files)                                                                                                        |          2 |         32 |          0 |          9 |         41 |
| src\app\(home)\me\@profile                                                                                                       |          3 |         35 |          1 |         11 |         47 |
| src\app\(home)\me\@timeline                                                                                                      |          2 |         28 |          0 |          8 |         36 |
| src\app\(home)\moments                                                                                                           |          8 |        107 |          2 |         32 |        141 |
| src\app\(home)\moments (Files)                                                                                                   |          2 |         32 |          0 |          8 |         40 |
| src\app\(home)\moments\@profile                                                                                                  |          3 |         37 |          1 |         12 |         50 |
| src\app\(home)\moments\@timeline                                                                                                 |          3 |         38 |          1 |         12 |         51 |
| src\app\(home)\notifications                                                                                                     |          3 |         64 |          0 |         13 |         77 |
| src\app\(home)\user                                                                                                              |          6 |         78 |          0 |         24 |        102 |
| src\app\(home)\user\[username]                                                                                                   |          6 |         78 |          0 |         24 |        102 |
| src\app\(home)\user\[username] (Files)                                                                                           |          2 |         32 |          0 |         10 |         42 |
| src\app\(home)\user\[username]\@profile                                                                                          |          2 |         21 |          0 |          6 |         27 |
| src\app\(home)\user\[username]\@timeline                                                                                         |          2 |         25 |          0 |          8 |         33 |
| src\app\(landing)                                                                                                                |          4 |         31 |          0 |         11 |         42 |
| src\app\(landing) (Files)                                                                                                        |          1 |          4 |          0 |          2 |          6 |
| src\app\(landing)\@landing                                                                                                       |          3 |         27 |          0 |          9 |         36 |
| src\app\@auth                                                                                                                    |         10 |        126 |          2 |         25 |        153 |
| src\app\@auth (Files)                                                                                                            |          2 |         15 |          0 |          4 |         19 |
| src\app\@auth\error                                                                                                              |          1 |         10 |          0 |          3 |         13 |
| src\app\@auth\login                                                                                                              |          2 |         35 |          2 |          7 |         44 |
| src\app\@auth\logout                                                                                                             |          3 |         40 |          0 |          8 |         48 |
| src\app\@auth\signup                                                                                                             |          2 |         26 |          0 |          3 |         29 |
| src\app\@postDetail                                                                                                              |          3 |         98 |          0 |         16 |        114 |
| src\app\@postDetail (Files)                                                                                                      |          1 |          4 |          0 |          2 |          6 |
| src\app\@postDetail\(.)post                                                                                                      |          2 |         94 |          0 |         14 |        108 |
| src\app\@postDetail\(.)post\[postId]                                                                                             |          2 |         94 |          0 |         14 |        108 |
| src\app\@settings                                                                                                                |          6 |        313 |          0 |         38 |        351 |
| src\app\@settings (Files)                                                                                                        |          2 |         15 |          0 |          4 |         19 |
| src\app\@settings\profile                                                                                                        |          4 |        298 |          0 |         34 |        332 |
| src\app\api                                                                                                                      |         39 |        948 |         64 |        113 |      1,125 |
| src\app\api\auth                                                                                                                 |          3 |        174 |         29 |         25 |        228 |
| src\app\api\auth\[...nextauth]                                                                                                   |          3 |        174 |         29 |         25 |        228 |
| src\app\api\graphql                                                                                                              |         36 |        774 |         35 |         88 |        897 |
| src\app\api\graphql (Files)                                                                                                      |          4 |         58 |         24 |         21 |        103 |
| src\app\api\graphql\enums                                                                                                        |          3 |         16 |          0 |          2 |         18 |
| src\app\api\graphql\models                                                                                                       |         29 |        700 |         11 |         65 |        776 |
| src\app\api\graphql\models (Files)                                                                                               |          1 |         12 |          0 |          1 |         13 |
| src\app\api\graphql\models\Category                                                                                              |          2 |         10 |          0 |          3 |         13 |
| src\app\api\graphql\models\Comment                                                                                               |          3 |         33 |          0 |          6 |         39 |
| src\app\api\graphql\models\Friendship                                                                                            |          2 |         10 |          0 |          3 |         13 |
| src\app\api\graphql\models\Like                                                                                                  |          3 |         49 |          0 |          5 |         54 |
| src\app\api\graphql\models\Location                                                                                              |          2 |         13 |          0 |          3 |         16 |
| src\app\api\graphql\models\Media                                                                                                 |          2 |         10 |          0 |          2 |         12 |
| src\app\api\graphql\models\Notification                                                                                          |          2 |         13 |          0 |          3 |         16 |
| src\app\api\graphql\models\Notification_Type                                                                                     |          2 |          9 |          0 |          3 |         12 |
| src\app\api\graphql\models\Post                                                                                                  |          3 |        303 |          7 |         14 |        324 |
| src\app\api\graphql\models\Profile                                                                                               |          2 |         31 |          1 |          3 |         35 |
| src\app\api\graphql\models\User                                                                                                  |          3 |        194 |          3 |         16 |        213 |
| src\app\api\graphql\models\User_Notification                                                                                     |          2 |         13 |          0 |          3 |         16 |
| src\app\post                                                                                                                     |          1 |         14 |          0 |          4 |         18 |
| src\app\post\[postId]                                                                                                            |          1 |         14 |          0 |          4 |         18 |
| src\components                                                                                                                   |         21 |        738 |         10 |        108 |        856 |
| src\hooks                                                                                                                        |          2 |         84 |          5 |         15 |        104 |
| src\layout                                                                                                                       |         19 |      1,280 |          2 |        129 |      1,411 |
| src\lib                                                                                                                          |          5 |         70 |         17 |         19 |        106 |
| src\prisma                                                                                                                       |          8 |        866 |        152 |        162 |      1,180 |
| src\prisma (Files)                                                                                                               |          4 |        625 |         25 |         46 |        696 |
